% var.,PAGH,PAGM,PAFM,PAAH
0.0228,300.55,307.35,34.03,80.18
-0.0217,307.02,300.69,31,79.57
0.0144,301.12,305.03,32,81.51
-0.0095,304.88,302.12,33.03,80.76
-0.0201,300.79,296.05,31.91,80.33
0.0048,298.19,297.46,28.84,81.75
-0.0103,294.37,294.4,28.19,82.74
-0.0125,294.65,290.71,29.6,82.53
-0.017,286.17,285.77,27.72,80.14
0.0133,285.39,289.58,26.9,80.61
-0.0142,288,285.48,25.87,80.4
0.0178,288.52,290.57,26.81,81.64
-0.004,294.08,289.4,26.31,81.67
0.0038,288.2,290.51,27.1,82.9
-0.0206,292.39,284.53,27,81.6
-0.006,285.16,282.82,27.4,82.31
-0.0071,281.13,280.82,27.27,81.74
-0.0036,280.92,279.8,28.29,81.65
0.0098,280.44,282.53,30.01,82.02
0.0112,281.58,285.7,31.41,83.68
0.0187,287.07,291.05,31.91,83.92
-0.0069,290.19,289.04,31.6,83.68
-0.0213,290.2,282.88,31.84,82.52
0.0111,284.28,286.02,33.05,83.16
-0.0189,283.94,280.62,32.06,81.54
0.0071,281.65,282.61,33.1,81.72
0.0082,284.13,284.93,32.23,82.07
-0.0088,283.22,282.43,31.36,81.29
0.0279,287.76,290.32,31.09,83.43
0.0007,291.19,290.52,30.77,84.65
0.0127,290.29,294.2,31.2,85.63
0.0138,294.67,298.25,31.47,87.13
-0.0167,296.51,293.27,31.73,86.55
0.0001,292.76,293.29,32.17,87.7
-0.0074,295.38,291.13,31.47,86.89
-0.0181,288.43,285.87,30.97,86.35
-0.0012,283.84,285.52,30.81,85.56
0.0106,286.35,288.54,30.72,86.42
-0.0028,288.46,287.74,28.25,86.7
0.0031,289.5,288.64,28.09,86.71
0.007,288.77,290.66,29.11,86.61
0.0212,293.35,296.82,29,87.76
0.03,304.68,305.71,28.76,86.33
0.0077,300.53,308.05,28.75,86.26
-0.0129,307.8,304.08,28.45,85.85
0.0007,304.46,304.29,29.34,82.14
0.0088,307.8,306.98,26.84,82.13
0.0352,309.75,317.79,23.7,83.59
-0.0042,318.33,316.46,23.15,85
0.001,314.43,316.79,21.71,87.25
-0.0004,318.96,316.65,20.88,86.69
-0.0062,313.06,314.68,20.04,86.83
0.02,320.31,320.98,21.09,87.96
0.0023,320.12,321.72,21.92,88.94
-0.0035,321.21,320.58,20.72,88.7
0.0027,319.83,321.43,20.72,88.55
0.0002,322.57,321.49,21.01,88.68
-0.0006,319.6,321.31,21.81,88.81
0.0281,324.02,330.33,21.6,90
0.0131,329.94,334.65,20.38,90.24
-0.0017,335.47,334.09,21.2,90.12
0.008,334.08,336.76,19.87,90.91
0.0064,337.39,338.9,19.05,92.59
-0.0024,338.08,338.1,20.01,95.02
-0.0089,336.88,335.08,19.16,93.72
0.0115,334.01,338.92,19.44,95.55
-0.0006,337.46,338.73,19.44,94.66
0.0027,338.13,339.64,19.41,94.75
-0.0139,331.82,334.93,19.15,96.53
0.012,332.82,338.95,19.34,96.4
0.0159,339.01,344.34,19.1,96.21
-0.0092,342.45,341.17,19.09,94.84
0.005,342.33,342.88,18.06,95.03
-0.0059,342.61,340.85,17.73,96.42
-0.0005,340.33,340.69,18.58,95.75
0.0274,343.31,350.04,18.96,96.61
0.0097,350.34,353.42,18.98,97.21
-0.0076,355.22,350.72,18.81,94.68
-0.0122,349.32,346.43,19.43,94.37
-0.0019,345.04,345.78,20.93,95.68
0.0219,346.88,353.36,20.71,97.57
0.0052,355.14,355.18,22,98.75
0.0004,354.4,355.33,21.52,99.97
0.0117,354.23,359.49,21.87,100.27
0.0128,359.1,364.1,23.29,100.3
0.0009,362.59,364.41,22.59,99.81
0.0081,366.46,367.35,22.86,100.01
0.021,365.85,375.05,20.79,98.68
-0.0003,376.89,374.94,20.28,96.22
0.0058,375.29,377.1,20.62,95.03
0.004,380.34,378.62,20.32,97.33
-0.0026,377.44,377.62,21.66,95.3
0.0096,379.89,381.26,21.99,94.2
-0.0063,382.97,378.86,22.27,94.47
0.0073,378.23,381.62,21.83,95.92
0.0073,381.74,384.4,21.95,95.26
-0.0005,385.73,384.2,20.91,93.23
-0.0128,380.87,379.29,20.4,91.17
-0.0181,380.2,372.41,20.23,90.84
0.0006,371.29,372.64,19.64,91.56
0.0093,376.82,376.1,19.75,89.73
-0.0089,376.29,372.74,19.52,89.96
-0.0051,371.33,370.85,19.52,90.68
0.005,370.42,372.71,19.48,92.83
0.0145,372.34,378.11,19.88,92.09
-0.0801,378.14,347.84,18.98,90.38
-0.019,353.13,341.23,19,87.12
-0.0046,340.84,339.66,19.32,90.58
0.0025,336.33,340.5,19.5,87.62
-0.0045,343.73,338.98,23.23,88.12
0.0007,340.33,339.21,22.56,87.08
-0.0039,338.58,337.9,21.94,86.29
0.0076,340.26,340.48,21.11,85.05
0.0107,340.08,344.13,21.21,85.22
0.0005,347.73,344.29,21.18,82.4
-0.0072,342.58,341.81,21.25,83.52
-0.0018,343.07,341.19,21.17,83.26
-0.0214,337.83,333.88,20.47,79.71
-0.0222,335.43,326.46,19.99,76.82
0.0165,327.64,331.84,19.21,78.15
0.0043,332.2,333.27,20.07,77.55
-0.0103,331.82,329.85,19.86,77.56
-0.0099,330.65,326.59,22.36,76.7
-0.0081,325.32,323.94,22.17,75.09
-0.0001,323.31,323.9,23.56,75.38
0.0325,328.17,334.43,22.92,80.82
0.0026,335.08,335.31,23.1,80.13
-0.0061,334.82,333.26,24.32,80.24
0.0032,335.31,334.31,24,81.64
-0.0102,333.54,330.9,25.94,84.22
0.0144,330.41,335.68,26.15,83.54
0.0193,334.33,342.17,26.36,83.28
0.012,344.22,346.28,27.32,84.19
0.0094,345.99,349.52,28,83.61
-0.0045,351.46,347.96,27.04,83.74
-0.0061,347.84,345.85,27.46,82.26
-0.0047,346.41,344.24,27.71,76.97
0.0048,344.13,345.9,26.97,78.18
-0.01,347.84,342.44,27.48,76.18
0.0018,343.03,343.04,27.84,75.69
0.0167,345.33,348.78,27.98,77.34
0.001,349.95,349.12,27.58,77
0.0074,358.31,351.69,28.24,75.67
-0.0011,349.92,351.32,26.81,72.83
0.0268,353.09,360.74,26.75,74.12
0.0004,358.65,360.88,27.71,76.27
-0.0013,360.7,360.4,27.41,75.19
0.0031,361.98,361.53,27.36,74.53
-0.0093,357.33,358.16,26.26,74.19
-0.0086,357.6,355.09,26.93,74.31
-0.0009,354.38,354.78,26.51,73.29
-0.0036,353.91,353.49,26.05,73.58
-0.0089,351.19,350.34,25.91,72.8
0.0105,350.34,354.03,26.62,76.02
0.0225,360.06,361.98,28,78.43
0.0006,362.82,362.19,27.77,77.44
0.0197,365.02,369.34,28.76,75.29
-0.0044,368.08,367.73,29.42,74.84
-0.002,368.13,367.01,29.06,75.04
0.0066,366.49,369.42,30.59,73.87
0.0045,371.78,371.1,31.3,74.79
-0.002,371.36,370.35,31.72,74.33
-0.0226,368.86,361.98,30.95,71.68
0.0023,360.01,362.82,30.1,69.42
-0.0135,361.55,357.94,29.85,72.3
-0.0054,359.2,356,30.14,71.81
-0.0096,355.52,352.6,29.66,71.43
-0.0023,352.67,351.78,30.73,72.11
0.0549,368.35,371.11,30.82,73.43
0.0166,370.98,377.28,31.08,64.36
-0.0002,375.75,377.2,31.54,62.84
-0.0039,376.24,375.73,32.47,64.26
0.0039,373.74,377.21,30.79,65.47
0.0002,377.24,377.28,31.24,65.26
0.0025,375.62,378.21,30.98,65.07
0.0264,379.47,388.18,29.73,64.8
-0.0214,384.22,379.88,28.11,63.19
0.0088,380.93,383.24,28.64,65.41
0.0058,379.9,385.46,29.05,65.34
0.0049,385.22,387.35,28.65,66.89
0.0148,390.44,393.07,28.55,67.85
-0.0038,389.58,391.59,28.26,68.56
-0.0022,391.25,390.73,27.37,66.84
0.0028,390.44,391.81,27.91,66.72
0.0063,390.24,394.29,28.5,66.66
0.0064,394.08,396.83,28.32,65.74
0.0176,398.38,403.82,28.93,65.71
-0.0179,403.04,396.61,28.46,64.12
0.0039,399.39,398.15,27.28,63.72
0.0052,400.02,400.24,27.13,64.4
-0.0112,401.54,395.77,27.27,63.26
-0.0008,397.89,395.45,27.39,64.14
0.0122,397.79,400.28,26.87,63.51
0.0018,400.94,400.99,27.25,63.06
0.0062,399.29,403.49,27.78,61.5
0.019,403.04,411.15,27.72,60.01
0.0208,414.87,419.71,27.52,61.59
-0.0086,420.92,416.09,27.45,60.81
0.0015,417.43,416.7,28.58,61.51
-0.0013,417.65,416.16,27.96,61.67
0.004,416.25,417.81,28.14,62.55
-0.0086,415.76,414.21,27.83,61.2
-0.0028,414.35,413.06,27.08,61.19
-0.0046,413.9,411.17,27.04,61.79
-0.0088,409.65,407.55,26.64,63.38
-0.008,402.89,404.29,26.49,65.1
0.0044,406.01,406.05,26.55,64.93
0.0042,408.81,407.75,25.86,64.58
-0.0042,406.04,406.02,25.74,64.68
-0.0012,407.77,405.55,25.73,65.99
-0.0008,406.6,405.21,25.13,66.23
0.0034,407.14,406.6,25.2,65.88
-0.012,403.73,401.72,26.09,64.58
-0.0106,402.38,397.48,25.58,63.24
0.0088,397.89,400.98,25.53,61.27
0.0148,402.66,406.91,25.42,61.4
-0.0084,407.12,403.49,26.25,61.71
-0.0138,402.52,397.92,27.07,61.1
-0.0151,393.41,391.9,27.39,60.46
-0.0105,389.75,387.8,26.85,60.89
0.0036,388.13,389.2,26.59,61
0.0161,391.84,395.47,27.57,62.24
0.0003,396.82,395.58,28.02,62.05
-0.0004,396.38,395.41,27.4,61.4
-0.0103,393.36,391.34,26.52,59.98
0.0146,393.68,397.07,26.92,60.89
-0.0136,393.76,391.66,26.62,57.54
-0.0213,393.06,383.33,25.69,56.01
0.0443,384.95,400.32,25.73,55.79
0.0003,400.69,400.45,25.97,56.95
0.0097,400.89,404.34,25.98,58.02
0.0069,404.45,407.12,26.11,57.92
-0.0054,408.52,404.94,26.14,58.34
-0.0095,404.19,401.1,26.85,59.6
0.022,402.01,409.93,26.98,61.45
0.0067,409.9,412.68,27.77,63.25
-0.005,412.03,410.61,27.43,62.76
0.0112,410.45,415.21,28.97,63.65
0.0194,418.89,423.27,28.31,64.28
0.0187,424.54,431.19,27.57,65.82
-0.005,431.92,429.03,26.89,65.52
0.0191,428.92,437.24,27.12,66.26
-0.0025,435.84,436.16,27.04,65.25
0.01,438.08,440.54,26.68,64.71
-0.0031,439.87,439.19,26.82,64.96
0.0109,439.18,443.98,27.07,63.41
0.0325,448.18,458.39,26.6,61.26
-0.0131,459.95,452.37,26.13,62.08
0.0059,455.45,455.03,26.25,61.89
-0.0007,452.94,454.71,25.76,63.28
-0.0017,454.45,453.92,25.66,62.81
-0.0193,451.72,445.14,25.16,63.05
-0.0075,438.93,441.82,25.06,63.16
-0.0107,438.05,437.08,24.31,63.59
0.0091,442.18,441.06,24.1,63.06
-0.0147,438.28,434.58,23.32,63.56
0.0028,435.38,435.8,24.55,64.51
0.0005,434.48,436.03,24.35,64.25
-0.0041,436.92,434.24,23.85,64.39
-0.0098,434.35,429.97,23.52,64.19
0.0007,431.67,430.27,22.9,63.59
0.0057,432.57,432.74,22.97,62.64
0.0174,435.63,440.29,23.29,63.12
0.0119,441.48,445.54,24.33,62.7
-0.0117,442.41,440.33,24.03,62.51
-0.0089,443.16,436.41,23.77,61.74
0.0058,434.91,438.93,23.73,62.28
-0.0023,440.48,437.94,23.63,61.44
0.0128,440.04,443.55,24.02,61.71
0.0162,444.76,450.75,24.21,61.68
0.0001,451.12,450.78,24.31,60.43
-0.0177,447.43,442.8,23.9,59.55
-0.0043,444.6,440.89,24.53,59.07
-0.0126,436.36,435.32,23.93,57.51
-0.0041,439.06,433.52,24.25,57.52
0.0086,437.3,437.25,24.16,56.87
0.0039,439.83,438.96,24.66,56.25
0.0038,437.87,440.61,24.88,56.65
0.0085,443.65,444.37,24.81,58.46
-0.0063,445.53,441.58,24.41,59.78
0.0047,440.38,443.64,24.52,60.11
0.008,445.44,447.18,24.37,59.63
0.013,450.04,452.98,24.71,59.29
0.0002,455.94,453.06,25.48,60.34
0.0008,452.16,453.43,25.8,60.1
0.0157,456.94,460.57,25.81,61.04
0.003,460.45,461.95,25.91,60.93
