number,result
1,1190.5053071632499
2,1330.2612379752125
3,1403.4256688038836
4,1473.4578807718553
5,1517.1050764232282
6,1551.7646980894383
7,1575.6369728838736
8,1592.8808751410875
9,1605.7082785675614
10,1613.9549746512305
11,1619.4062189297908
12,1623.4521008820184
13,1626.3719512617106
14,1627.4670468318077
15,1627.5596504246005
16,1628.3384644865753
17,1628.8755762477567
18,1630.601262498261
19,1631.1195826002863
20,1631.8084659413676
21,1633.2364620311005
22,1633.6613911930042
23,1633.8026210352928
24,1634.2563812282142
25,1632.9249896206284
26,1633.260113514097
27,1632.3218454271987
28,1631.7350969538643
29,1631.8062559256757
30,1631.1163603785035
31,1630.2940626662887
32,1630.0851374376234
33,1632.2296197770115
34,1632.6640859860852
35,1635.5726973050052
36,1637.681160959309
37,1639.017459715056
38,1641.6440640226822
39,1643.7225765624444
40,1645.721353908764
41,1648.4782623962387
42,1653.7312463397802
43,1657.3707196326404
44,1659.651936499478
45,1660.1251304238165
46,1659.7810311402518
47,1657.2196688509011
48,1654.7255437745105
49,1651.7771413906569
50,1650.4230278406146
51,1648.4447616436755
52,1646.427688437432
53,1645.352999112557
54,1644.0766088046435
55,1639.7695645432832
56,1640.5425369397576
57,1640.020953649533
58,1639.6589628195875
59,1639.2956524567508
60,1642.2826380846664
61,1645.6519401757619
62,1647.9087929810253
63,1649.7853970335593
64,1650.211721120061
65,1650.6129173923234
66,1652.3586490315597
67,1654.1032415482564
68,1653.530394628388
69,1653.5785730712878
70,1656.0691670810945
71,1653.4946411583933
72,1653.9480116314915
73,1655.99144529043
74,1657.1212636611313
75,1657.9113444266227
76,1661.075259160156
77,1662.802693862507
78,1664.1173901582529
79,1666.8338003155086
80,1667.441334219497
81,1670.3244449828353
82,1669.5246783697771
83,1666.922651736545
84,1668.3717656530278
85,1666.456745489816
86,1665.8410285712334
87,1661.7929819126896
88,1662.711159363299
89,1660.7571374872546
90,1663.202684406101
91,1665.9980672137299
92,1669.8110007162954
93,1677.0372068645302
94,1679.3951176778007
95,1682.0648504813112
96,1682.763696563357
97,1687.9977496650645
98,1691.1201866168697
99,1694.438953756623
100,1696.1383771764424
101,1698.5820341558922
102,1698.2140571674345
103,1698.6704954564457
104,1708.219493766087
105,1715.169147828934
106,1715.2352821835534
107,1716.9111827742224
108,1711.6117398479114
109,1710.3237529761193
110,1709.6652745802685
111,1711.0622658457808
112,1709.3068928392204
113,1708.311053320232
114,1705.8490617032276
115,1704.345969605025
116,1705.6952425827506
117,1704.9207311169428
118,1703.9234624712972
119,1700.8920258565358
120,1700.6923130865441
121,1700.6799794497063
122,1701.6592848007006
123,1700.4137169609014
124,1699.268396503065
125,1696.0481152155548
126,1695.0060551739507
127,1694.1345267145164
128,1696.1418499835017
129,1699.2496612948917
130,1700.7566607768927
131,1701.374179945927
132,1704.145305434648
133,1707.3491028529188
134,1707.4107723259326
135,1710.095286239923
136,1710.5640884138213
137,1712.343568411817
138,1710.7795955675672
139,1710.615767711977
140,1708.5559279849217
141,1711.670485685719
142,1713.5064427389684
143,1715.0925330534021
144,1716.2135302087831
145,1706.2525268114439
146,1703.482936656577
147,1704.7792500002627
148,1706.8123728026612
149,1710.4586394376306
150,1710.1616288822343
151,1711.209627700318
152,1709.8204912552637
153,1712.6052936429198
154,1714.7403000564718
155,1716.1072662789973
156,1715.6022054184812
157,1717.076332166677
158,1717.5174197954423
159,1719.1394717432336
160,1718.9075771663656
161,1721.2586085249472
162,1722.3196042089073
163,1723.6234717790212
164,1724.7413381330193
165,1719.7555390223133
166,1718.5861672090966
167,1715.6946223022273
168,1713.841194155588
169,1719.7724881654478
170,1721.6471267149543
171,1722.2932004636473
172,1728.537537613935
173,1723.9619977656837
174,1720.8842381152347
175,1719.5246689455532
176,1718.0982148224452
177,1715.2598960949904
178,1713.8754879702549
179,1712.3297739889324
180,1712.4812396456043
181,1712.9420704581275
182,1714.5365578615995
183,1716.24988872114
184,1716.928973019147
185,1717.2684148726357
186,1720.125322264777
187,1718.2833939341224
188,1721.3312249556757
189,1722.8578134744191
190,1723.8385671119854
191,1715.856656216775
192,1714.9932521536232
193,1710.2348008870445
194,1703.8692248836965
195,1702.8753327289203
196,1706.4498344947656
197,1713.4358135762632
198,1714.6682987197
199,1714.4496869129146
200,1712.1626852243903
201,1713.0406788452235
202,1712.9508059896325
203,1714.653431292554
204,1714.4243543070586
205,1714.064795373121
206,1711.5457754894574
207,1709.5211308526223
208,1707.9000676936623
209,1708.1726178102833
210,1710.3598040874426
211,1711.23759298995
212,1711.0952064926023
213,1716.78555637698
214,1723.6149995506935
215,1725.987630575653
216,1730.8953547514823
217,1735.6884181916203
218,1737.7053349060247
219,1739.4526834736569
220,1739.6518350291408
221,1725.9448188718106
222,1720.6891291208167
223,1712.6077864030074
224,1712.0288444226535
225,1712.798127025705
226,1720.288293714848
227,1729.0082989776276
228,1731.1129990391244
229,1737.5605949655749
230,1743.7277033293658
231,1743.3763401796016
232,1747.2504323939372
233,1747.6534496923045
234,1758.342394062396
235,1762.4363098808153
236,1754.909906313096
237,1755.1916353285274
238,1748.001130319809
239,1735.6897956160983
240,1736.1974155085557
241,1729.4836918877284
242,1721.3373301370752
243,1724.8499003314523
244,1720.7303156548226
245,1716.6522751512127
246,1712.7307717307024
247,1713.988158638772
248,1714.1106445230332
249,1718.983593033634
250,1720.6101096807397
251,1717.3351032050127
252,1712.0609552548224
253,1708.1558068558945
254,1705.8583326375576
255,1709.5816650942975
256,1709.3604824794281
257,1717.449002843092
258,1716.42682661211
259,1720.3598066735835
260,1719.3831189923196
261,1716.8026287251173
262,1720.415411489615
263,1720.2695845321887
264,1723.4429871780667
265,1707.2862650135623
266,1696.1174885520659
267,1693.3295002139992
268,1684.774510516376
269,1675.8253355007046
270,1666.538583109428
271,1652.961107202346
272,1648.6012093325007
273,1653.0443262237015
274,1647.7757305038788
275,1646.9327651108094
276,1641.776102644569
277,1645.2450566765583
278,1645.038950775205
279,1645.7278374773625
280,1654.2894264735546
281,1659.7178166749077
282,1658.7269990681607
283,1660.2474312826182
284,1660.227969770512
285,1664.6426678632588
286,1662.925325456507
287,1669.5045601287618
288,1673.3931554741812
289,1675.8967968267923
290,1670.0576582260032
291,1668.2152977838898
292,1687.9444844456896
293,1694.0559921938527
294,1696.2659276511592
295,1698.574128456806
296,1697.9742817286199
297,1694.9934272754992
298,1692.9870684145208
299,1692.7751488878432
300,1693.0570032976102
301,1697.9064528113863
302,1702.0393734482589
303,1707.7935513839766
304,1710.3578322999706
305,1710.1684721602292
306,1707.7772570483164
307,1708.6649130354933
308,1707.2016119649725
309,1708.7999155811735
310,1708.2287848303415
311,1712.369543539361
312,1712.1829195048879
313,1711.2495127960574
314,1712.6526572876855
315,1716.1462260154772
316,1724.4565209844777
317,1728.9050189527177
318,1730.0269750840248
319,1729.8513997413113
320,1727.1021069989538
321,1721.6864820696778
322,1721.984005690435
323,1724.9260912085422
324,1726.505856861041
325,1728.841308234417
326,1736.8086403089865
327,1739.6882176153217
328,1746.462862673439
329,1750.1083588407737
330,1759.4806388675138
331,1763.10254071812
332,1767.2243461790542
333,1762.7486843015636
334,1764.9338703523147
335,1759.7317837203261
336,1758.2967425345169
337,1753.9079815235957
338,1755.530038697254
339,1750.0474569510304
340,1756.7420238178463
341,1763.218303779021
342,1767.2809368463
343,1768.2935808535744
344,1769.7657268487924
345,1775.1959494578255
346,1777.5804306640537
347,1779.7522113191167
348,1785.0439711207748
349,1786.8689403368448
350,1785.5350873559885
351,1788.8929226654568
352,1791.0104067722139
353,1797.5536212841164
354,1803.2468500007822
355,1744.7056790592612
356,1725.372129358392
357,1701.3430240507887
358,1690.87472638634
359,1673.0543202309386
360,1667.5752678400302
361,1663.314008740193
362,1671.7966567780875
363,1672.014359061894
