number,result
1,983.9210050861403
2,1043.0622132758517
3,1098.3044733224324
4,1150.5252220270397
5,1199.3414533636835
6,1244.8155121295938
7,1286.8026204731348
8,1324.9677304753336
9,1359.6054094264916
10,1391.6274753317484
11,1419.8259723352778
12,1445.3375827784582
13,1469.0225694962041
14,1489.6298549098437
15,1509.9972901730596
16,1526.9050494087767
17,1542.6119971538203
18,1556.542283912504
19,1569.0183369151596
20,1578.0021788416639
21,1585.6679045560827
22,1592.8247732414443
23,1599.575699590785
24,1605.5151599294543
25,1610.5450707708046
26,1615.449325333867
27,1620.3495591083486
28,1625.0845251360179
29,1629.300478182717
30,1634.4562120378018
31,1639.072390093462
32,1643.726039149515
33,1646.523485553395
34,1649.676783479934
35,1652.1671913526923
36,1652.7874290918487
37,1653.5860968815396
38,1652.768224442491
39,1651.2052646483553
40,1650.2709372245358
41,1648.8555493666306
42,1646.6109970519162
43,1642.1915430857616
44,1637.7257964701985
45,1634.3600250097377
46,1631.9577463930189
47,1628.73758194982
48,1623.45965425188
49,1618.5633733133386
50,1614.6073017311028
51,1610.759204242447
52,1606.0808496132368
53,1602.1879087331922
54,1598.94180364314
55,1600.8213988127636
56,1599.8177396010676
57,1598.6291870762338
58,1597.0144140402176
59,1595.7584956675687
60,1594.0246475538056
61,1591.4265194561306
62,1589.20115683237
63,1587.0496624061363
64,1585.9607314320406
65,1584.6821340798217
66,1581.5321762592782
67,1579.561824135032
68,1577.8002655332732
69,1575.6107337416577
70,1573.2109238752969
71,1576.3011298897975
72,1581.1644265327293
73,1583.8423734686444
74,1587.3044968675988
75,1591.0260463390402
76,1595.0614393319036
77,1595.571540383138
78,1597.1739614013934
79,1597.4083714598157
80,1598.0288285941467
81,1597.53468590369
82,1598.0019115353798
83,1600.7471103882554
84,1600.8576143383114
85,1603.1572664619935
86,1604.9496329217334
87,1607.9616953527725
88,1609.458384142252
89,1612.2610479010534
90,1612.8109368707967
91,1612.097795763607
92,1610.5492879870244
93,1607.6293012393166
94,1603.8933169934844
95,1599.65065958719
96,1595.6899396089482
97,1590.6379042821266
98,1585.1854197048538
99,1580.481796623426
100,1576.2776181156382
101,1570.9673098913117
102,1566.1819931880548
103,1561.3600953655282
104,1556.6337190996242
105,1552.1383937473233
106,1549.6248510429973
107,1546.3770311672836
108,1540.2448178188088
109,1535.8616896655535
110,1531.0366676281967
111,1524.682889122505
112,1518.6733947817079
113,1512.770904626617
114,1511.5759207688964
115,1508.9516273547838
116,1504.5286335822552
117,1499.6931456160012
118,1496.0056229860782
119,1495.2454162019403
120,1494.3895830990691
121,1493.6189733628198
122,1490.9864517570009
123,1488.9470181764254
124,1487.7740384761091
125,1486.9228106552587
126,1485.0146627286322
127,1482.351601127529
128,1479.0772047478779
129,1475.0879155643768
130,1471.4634923199662
131,1469.556815962444
132,1467.3159677060949
133,1465.1954348563722
134,1465.3423615171807
135,1463.060620219681
136,1461.6131168402337
137,1460.7923184943056
138,1461.4417111739192
139,1460.9410753540528
140,1461.732497564612
141,1461.4152252249307
142,1462.5800445958323
143,1465.2490606796448
144,1468.5373056077121
145,1475.2024265498426
146,1479.2221004263677
147,1481.1056878890342
148,1482.982688110133
149,1483.4608633237453
150,1484.6495517816309
151,1485.1788104339669
152,1486.767640700559
153,1486.158223131276
154,1485.3930670793939
155,1484.3488060256657
156,1483.7254649875388
157,1482.4017529813366
158,1481.5692239586451
159,1479.8800398206733
160,1476.7457276669538
161,1473.1291671255499
162,1470.2284754971902
163,1469.8698544379356
164,1469.1319145214488
165,1469.8969779919805
166,1469.8698577553082
167,1470.6673083867645
168,1470.8576340679153
169,1465.8017280515396
170,1459.1113396523572
171,1451.998567806955
172,1445.6406023027153
173,1440.534290087317
174,1433.8603186417647
175,1426.667566746114
176,1419.8698441666438
177,1413.2617102671684
178,1407.478295201572
179,1402.9873759514555
180,1399.0337144407954
181,1396.815476808982
182,1395.760818771557
183,1393.2622684115831
184,1391.6857955633507
185,1390.3677774248308
186,1386.6777701625417
187,1382.96621000921
188,1378.9313588992113
189,1375.562146578965
190,1373.1030742046114
191,1374.9815799518992
192,1374.6622022815168
193,1375.5912639188953
194,1378.277413578915
195,1380.1990320363598
196,1381.0979768059244
197,1380.3830361895637
198,1380.1920328135259
199,1378.5067350843176
200,1378.209963438783
201,1377.1393102244367
202,1376.1927832412864
203,1373.9264778592903
204,1370.6332267523906
205,1368.9506108127023
206,1367.9803939393769
207,1366.9204245773553
208,1366.045410975909
209,1367.6517193941122
210,1368.3872420491027
211,1368.7831775505636
212,1370.5172285152273
213,1368.9310410460685
214,1366.5602535922926
215,1364.198433371095
216,1360.3517684704595
217,1356.7180734537856
218,1353.5240948858686
219,1350.6054706479904
220,1347.5193558723352
221,1346.754692672115
222,1346.6710075990625
223,1345.5630914991752
224,1343.7729438380181
225,1342.0073309535105
226,1339.645397527114
227,1336.1933172416966
228,1335.2058697710213
229,1335.203236875554
230,1334.1412067353647
231,1336.113201401052
232,1337.80307275293
233,1339.2438848389413
234,1338.3609504253632
235,1341.7769111241266
236,1349.712778377508
237,1352.31091088329
238,1358.395911410802
239,1369.1213459473695
240,1376.2872167399462
241,1379.991833085755
242,1384.023700922024
243,1383.981390136132
244,1381.4979148541286
245,1380.5119904958035
246,1380.274421200585
247,1379.6925857966573
248,1378.163727943597
249,1374.0358295865876
250,1368.361358555754
251,1364.6506664260555
252,1362.3511918965023
253,1362.3903144916767
254,1361.5266419078898
255,1359.2042107686816
256,1357.4350926900784
257,1355.1645786897222
258,1352.7494397648297
259,1348.2858171138728
260,1343.720524363604
261,1341.2512309860756
262,1338.7659864476623
263,1336.5125678102856
264,1334.2967294403486
265,1337.864878549635
266,1342.4937009280552
267,1347.9973830409442
268,1355.8528953347811
269,1366.991038486176
270,1372.9302294145436
271,1384.0420720163881
272,1394.3869479301118
273,1400.3656046747055
274,1408.3971506724388
275,1414.4338382882524
276,1418.8840976516901
277,1420.7290760153112
278,1425.520170944379
279,1428.6002878201803
