number,result
1,978.6312071073729
2,1131.139449172817
3,1022.0570329914158
4,1169.218012268269
5,1029.1061895519833
6,1186.3863215970023
7,1026.4514441830215
8,1198.8801454756642
9,1022.0296846105351
10,1206.7865136403805
11,1013.1660090520169
12,1213.8425522608327
13,1000.7123163679374
14,1216.8358761371342
15,980.7924843164111
16,1215.87002694079
17,970.0854536432621
18,1217.2963411298942
19,963.5325434311658
20,1223.044847240442
21,965.5921746959342
22,1227.614490853601
23,960.2825069285044
24,1227.6557317906468
25,954.0466033542435
26,1225.0664327835864
27,947.4399686378662
28,1219.0018537322717
29,945.8548708697973
30,1213.3693128676368
31,941.4977855625705
32,1208.7915383856816
33,950.8006734497864
34,1214.756058999598
35,958.2832175993391
36,1228.515276044756
37,960.9122671564312
38,1239.5750628738347
39,968.8418766351851
40,1248.4390682089286
41,974.5864235232815
42,1265.6094678752468
43,990.672791288121
44,1284.268358495777
45,985.4981869143841
46,1281.389446750905
47,975.270086644924
48,1280.4587199258265
49,968.8954495946425
50,1275.888503277026
51,964.6533206233023
52,1274.3221217348296
53,963.239999014587
54,1271.4466201122987
55,935.2648998723499
56,1254.0932767370032
57,941.4668787755619
58,1253.9685948912982
59,947.8845393260256
60,1261.780722822326
61,967.3498488002332
62,1276.7795522011845
63,974.7301934483542
64,1280.3810909782574
65,973.8648628646107
66,1289.3177247053272
67,976.2002017446991
68,1289.3837465675954
69,975.9989890078191
70,1296.0668708097503
71,949.3182282855456
72,1265.852238642505
73,956.4964340909663
74,1266.2845095347445
75,957.9244013215928
76,1267.4529591368791
77,975.0088571349411
78,1278.7146065565219
79,986.7797884773222
80,1289.0752341611803
81,995.0060862715251
82,1294.6922804463702
83,972.6774157478076
84,1289.2220009002936
85,958.9029251554143
86,1275.4045724505424
87,944.5085550955627
88,1264.9768678533044
89,941.9297482036529
90,1265.0415662162084
91,964.4186045861729
92,1285.5964028981223
93,997.0673232421792
94,1315.1064076217356
95,1008.3884654550608
96,1328.5086786895595
97,1023.315088249535
98,1352.4723101981579
99,1024.641438848355
100,1360.283775504148
101,1027.1815584093486
102,1366.7199663001477
103,1021.4336325094043
104,1384.0873540835362
105,1037.5632573442415
106,1389.432199613022
107,1033.6069505758949
108,1391.535079983797
109,1021.0504796129276
110,1388.487357564409
111,1031.63976438319
112,1398.0065430842774
113,1028.6989771406725
114,1384.9199027333248
115,1020.056681136864
116,1391.1309677358274
117,1022.739445550729
118,1391.3521607204882
119,1000.9432215156521
120,1373.2805640054228
121,1001.4532304738644
122,1377.1717440749162
123,1003.9319677373096
124,1372.7709223365594
125,997.2719434861278
126,1367.8970023935042
127,1005.6762030654977
128,1379.4240706286257
129,1025.6241566714605
130,1397.184378028013
131,1020.8457925751327
132,1399.2684183329882
133,1028.1830362162325
134,1398.0569980254534
135,1038.8734866384189
136,1409.121918281541
137,1035.680929343119
138,1403.1424697407567
139,1030.157995840282
140,1396.500458200017
141,1036.1554524409723
142,1403.9553784349628
143,1025.5835359223522
144,1395.2810870852468
145,975.586952451525
146,1351.582223582678
147,995.3095470646547
148,1365.123979665943
149,1020.8099518713968
150,1380.8647416834579
151,1026.4389927125333
152,1383.0582020263696
153,1037.6790954155176
154,1401.1886180266217
155,1038.5504827796735
156,1403.9032268727394
157,1038.2536646549722
158,1407.8230501062833
159,1039.9991445400733
160,1417.0662034680704
161,1047.1365077066937
162,1427.154821957198
163,1034.2431193508196
164,1420.0172601335503
165,1008.798352024191
166,1397.063377218408
167,1001.7405427284318
168,1385.242712402829
169,1049.9352273014815
170,1435.1838929701535
171,1064.1842514340856
172,1462.4453732639738
173,1043.6877515953474
174,1448.469898311894
175,1045.2215313432846
176,1451.0339816517364
177,1040.8250164830158
178,1446.7362412059038
179,1033.789246444225
180,1440.4268590798765
181,1029.9918573671132
182,1433.5857828734745
183,1042.0972468769
184,1441.2275197223928
185,1041.7755597707755
186,1452.745227590797
187,1043.0244371777294
188,1459.1404221623625
189,1050.5645122382766
190,1462.4702439746357
191,1007.0077476898557
192,1424.5567984423656
193,1000.2847838471904
194,1395.8157710670275
195,1009.3185676271623
196,1408.281439413219
197,1048.9926414720217
198,1438.0698541206984
199,1054.6030902118757
200,1440.8257367493072
201,1053.0752700157525
202,1445.8833564534432
203,1057.9025348639004
204,1458.1920575063434
205,1046.1461901044688
206,1445.6636859956368
207,1034.547286363937
208,1435.712066026801
209,1023.2243561856259
210,1428.672811926443
211,1029.9862097203322
212,1426.2745747625263
213,1060.942663260642
214,1466.9915077528137
215,1069.394682641113
216,1487.7586917919841
217,1081.2080224782771
218,1500.856943378003
219,1077.1452299000105
220,1501.694122517414
221,1020.1086142489232
222,1443.551446505191
223,1010.6336583469493
224,1432.4532601764538
225,1033.587112562913
226,1458.7811770064122
227,1079.8043769242263
228,1489.2245578733157
229,1085.4027419257545
230,1509.619625155104
231,1059.7449501930826
232,1491.0752395910165
233,1057.4789034795551
234,1504.9377068642445
235,1060.255690995435
236,1469.1957021078158
237,1070.9557118118885
238,1462.9058344396958
239,1004.1911834018779
240,1416.4750644898418
241,1011.7057632715024
242,1403.582386703339
243,1052.4251420875466
244,1442.3623936060803
245,1043.5667009902388
246,1434.22446163866
247,1045.799142829067
248,1443.4557697447258
249,1071.9379929373704
250,1477.9314279277824
251,1052.634133792055
252,1455.013594247499
253,1022.6027152025226
254,1430.4548931344248
255,1043.226416097312
256,1445.0615023571363
257,1069.9684962071503
258,1468.1693950899237
259,1084.441430177463
260,1488.700626743363
261,1057.1429544176376
262,1478.689801430084
263,1050.8456086063236
264,1476.3511823936617
265,978.933407072531
266,1385.669611435136
267,977.640300540138
268,1356.3257427302212
269,949.3712649658866
270,1322.9697294726714
271,916.1420559600152
272,1277.4597268698622
273,964.8286807257881
274,1294.6380949657769
275,979.1340374081792
276,1303.8886718926412
277,1003.1981384160522
278,1319.4605695394164
279,1003.5376412829592
280,1352.6189446575888
281,1019.4268701038693
282,1362.422020290283
283,1015.9898300806955
284,1367.6609244388721
285,1031.8244771186316
286,1379.7983939756475
287,1031.3582899573755
288,1379.6372264705062
289,1016.484074262085
290,1350.9502609322915
291,994.6408552955778
292,1384.4295567797244
293,1017.8661204810323
294,1395.555963785287
295,1034.090443637393
296,1420.878445578074
297,1027.564326031833
298,1427.3433863732428
299,1038.8956195887515
300,1441.8156452343728
301,1064.423529083727
302,1478.918825308938
303,1079.3529386389544
304,1496.9695946728743
305,1059.0789747414394
306,1480.2788574274923
307,1051.945687655162
308,1471.3668499622559
309,1058.3454033541416
310,1476.3258084861372
311,1074.948001737159
312,1492.1014870594797
313,1063.655823072466
314,1489.637188711416
315,1071.0490991450015
316,1511.9247639652494
317,1095.1362079541764
318,1534.2716129170922
319,1090.858978760549
320,1530.930274427987
321,1059.7760760279534
322,1506.6913228075052
323,1072.9422671689185
324,1519.4761262821605
325,1078.9727134181708
326,1538.6078686625337
327,1086.217324096021
328,1550.4427935688307
329,1091.3777685845923
330,1566.3918519198419
331,1105.4448548883433
332,1576.245703379038
333,1076.3903178292903
334,1552.5418330097498
335,1067.1612585193493
336,1534.9274424130806
337,1066.7568196891543
338,1535.2836656695522
339,1055.7533044560523
340,1531.2748416166235
341,1115.1321536426406
342,1585.3257323422035
343,1125.12976823125
344,1593.632592620829
345,1149.927896654993
346,1624.4681775618578
347,1144.821706008034
348,1636.4588028174264
349,1139.8473298359572
350,1629.8691653465823
351,1145.8285374871837
352,1640.9773503576594
353,1172.8332114902876
354,1680.0531335813523
355,914.1952802803384
356,1384.532305835679
357,920.0358562690541
358,1348.808968487513
359,969.7898650868971
360,1388.1874194297343
361,1020.5851604521895
362,1451.302151727314
363,1045.0065470360846
364,1474.8894219346432
365,1042.3945003738886
366,1462.9750832127688
367,1034.1556628130954
368,1459.7721416327124
369,1025.972072199717
370,1435.9219529934123
371,1010.7159232354693
372,1417.5313905800822
373,1006.5731454584791
374,1415.2249163319093
375,1006.3086223331533
376,1418.0167790130204
377,1029.8466236433392
378,1435.4663599253402
379,1028.6282312832914
380,1444.4680620673644
381,1017.9809520864527
382,1421.7934773657873
383,982.0128036774878
384,1372.304353902041
385,971.6235394657507
386,1361.122454837735
387,988.6294872767369
388,1359.876631012859
389,983.1246112444255
390,1359.200177933278
391,971.6758002175642
392,1346.3468988939255
393,986.3863917211452
394,1368.18305908624
395,978.6352549939222
396,1367.9294596516818
397,982.9495016291114
398,1374.4869725164103
399,1003.1124054971186
400,1377.8415643880662
401,985.707457790639
402,1356.1711329437778
403,991.3211274297864
404,1351.278151436559
405,972.0259820590953
406,1336.5949586303814
407,971.2243531798363
