number,result
1,892.6541036448283
2,910.955219295242
3,927.6217230001922
4,942.7035072965649
5,956.3304076391412
6,968.6155683248564
7,979.685387781638
8,989.6885092293044
9,998.7094296046566
10,1006.7819320805824
11,1014.1181403383833
12,1020.7161136053268
13,1026.5795797290439
14,1031.9196751344139
15,1036.5706956444315
16,1040.8501574330558
17,1044.6484525604408
18,1048.0397913426032
19,1051.085765950619
20,1054.017384904438
21,1056.674107929009
22,1059.0312425320515
23,1061.1131590727207
24,1062.9763674606552
25,1064.7051153572245
26,1066.2012257822737
27,1067.5062819714879
28,1068.6467049745281
29,1069.6545275196502
30,1070.4440520232115
31,1071.156645482271
32,1071.7415718877517
33,1072.3245483494932
34,1072.8010477632902
35,1073.1970399661998
36,1073.6789240576747
37,1074.0989597231742
38,1074.5799052398138
39,1075.080066847751
40,1075.4704716036024
41,1075.8359865477157
42,1076.18459141125
43,1076.7230621784686
44,1077.272989994757
45,1077.7175792321357
46,1078.062509020154
47,1078.5225166952403
48,1079.216385564782
49,1079.8992764387906
50,1080.4570546817529
51,1080.9962068202428
52,1081.6251047470744
53,1082.1598256372422
54,1082.6160141199005
55,1082.637404695704
56,1082.8171192056777
57,1083.0188610808088
58,1083.264169169538
59,1083.4701171081392
60,1083.6356786533966
61,1083.8366125344592
62,1084.000628321431
63,1084.152800203044
64,1084.2168702402228
65,1084.301348236093
66,1084.5534849555488
67,1084.6791963201476
68,1084.8140736788664
69,1085.0001099098747
70,1085.1606979108033
71,1084.8415725279172
72,1084.2950392310288
73,1083.902914824004
74,1083.4554536575479
75,1082.9922003057513
76,1082.4520763705232
77,1082.272608384647
78,1082.0224891820121
79,1081.8807366799545
80,1081.732907940352
81,1081.6721078567805
82,1081.5646464225777
83,1081.286212986741
84,1081.212265964578
85,1080.975616677109
86,1080.783679072744
87,1080.5496797153219
88,1080.4011340672437
89,1080.1615808557203
90,1080.0759012073213
91,1080.0927342434693
92,1080.172123317257
93,1080.3350547640794
94,1080.6217570539093
95,1080.9780721796851
96,1081.3235292641507
97,1081.7436923016824
98,1082.214056173709
99,1082.5993259659492
100,1082.9310693038092
101,1083.3874292415696
102,1083.8131138363017
103,1084.2450505698596
104,1084.6069275251396
105,1084.9385920239324
106,1085.0578695112256
107,1085.264112063039
108,1085.8750002036338
109,1086.2994147608983
110,1086.7569997292364
111,1087.397434527545
112,1088.0196908560329
113,1088.6291808059507
114,1088.680148504997
115,1088.873473193244
116,1089.2833009429953
117,1089.7692541307656
118,1090.1262984002403
119,1090.1491345251668
120,1090.1532920882419
121,1090.1484326524612
122,1090.3653202915166
123,1090.5461340291
124,1090.6314573821908
125,1090.7052197430003
126,1090.8993496895887
127,1091.1890380948382
128,1091.5289997709108
129,1091.9360796694616
130,1092.3016596576554
131,1092.4559898179518
132,1092.6209722921271
133,1092.7633207297376
134,1092.6447036236973
135,1092.8044959549327
136,1092.8909346964897
137,1092.891879526569
138,1092.7332442770528
139,1092.7147848687357
140,1092.571724804155
141,1092.5289462849719
142,1092.3118486617814
