number,result
1,1336.130939818422
2,1336.13093982908
3,1336.130939839716
4,1336.130939850339
5,1336.130939860968
6,1336.130939871577
7,1336.130939882159
8,1336.130939892712
9,1336.130939903222
10,1336.130939913748
11,1336.130939924249
12,1336.130939934735
13,1336.130939945231
14,1336.130939955718
15,1336.130939966283
16,1336.130939976788
17,1336.130939987297
18,1336.130939997766
19,1336.130940008234
20,1336.130940018621
21,1336.130940028962
22,1336.130940039315
23,1336.130940049688
24,1336.130940060048
25,1336.130940070434
26,1336.130940080816
27,1336.130940091233
28,1336.130940101671
29,1336.130940112096
30,1336.130940122584
31,1336.130940133088
32,1336.130940143604
33,1336.130940154014
34,1336.130940164448
35,1336.130940174818
36,1336.130940185105
37,1336.130940195399
38,1336.130940205599
39,1336.130940215745
40,1336.13094022589
41,1336.130940235979
42,1336.130940245942
43,1336.13094025579
44,1336.130940265621
45,1336.1309402755
46,1336.130940285426
47,1336.130940295376
48,1336.130940305274
49,1336.130940315198
50,1336.130940325134
51,1336.13094033508
52,1336.130940345006
53,1336.13094035494
54,1336.130940364894
55,1336.130940375107
56,1336.130940385174
57,1336.130940395219
58,1336.130940405253
59,1336.130940415296
60,1336.130940425243
61,1336.130940435096
62,1336.130940444941
63,1336.130940454774
64,1336.130940464654
65,1336.130940474529
66,1336.130940484298
67,1336.13094049407
68,1336.130940503881
69,1336.130940513674
70,1336.130940523391
71,1336.130940533372
72,1336.130940543419
73,1336.130940553354
74,1336.130940563313
75,1336.130940573296
76,1336.130940583244
77,1336.130940593074
78,1336.130940602936
79,1336.130940612716
80,1336.130940622522
81,1336.130940632245
82,1336.13094064204
83,1336.130940651988
84,1336.1309406618
85,1336.130940671724
86,1336.130940681651
87,1336.130940691704
88,1336.130940701662
89,1336.130940711698
90,1336.130940721602
91,1336.130940731404
92,1336.13094074112
93,1336.130940750664
94,1336.130940760186
95,1336.130940769671
96,1336.130940779166
97,1336.130940788516
98,1336.130940797804
99,1336.130940807076
100,1336.130940816353
101,1336.130940825554
102,1336.130940834786
103,1336.130940844002
104,1336.130940853009
105,1336.13094086193
106,1336.130940870993
107,1336.130940880027
108,1336.130940889068
109,1336.130940898144
110,1336.130940907173
111,1336.130940916092
112,1336.13094092504
113,1336.130940933988
114,1336.130940943118
115,1336.130940952213
116,1336.130940961183
117,1336.130940970138
118,1336.130940979139
119,1336.130940988285
120,1336.130940997409
121,1336.130941006518
122,1336.130941015537
123,1336.130941024598
124,1336.130941033702
125,1336.13094104287
126,1336.130941051992
127,1336.130941061074
128,1336.130941070072
129,1336.130941078979
130,1336.130941087884
131,1336.13094109685
132,1336.130941105756
133,1336.130941114616
134,1336.13094112358
135,1336.130941132426
136,1336.130941141296
137,1336.130941150166
138,1336.130941159132
139,1336.130941168062
140,1336.130941177068
141,1336.130941185964
142,1336.130941194881
143,1336.130941203851
144,1336.13094121285
145,1336.130941222198
146,1336.130941231477
147,1336.130941240597
148,1336.130941249673
149,1336.130941258652
150,1336.130941267694
151,1336.130941276712
152,1336.130941285801
153,1336.13094129476
154,1336.130941303677
155,1336.13094131258
156,1336.130941321523
157,1336.130941330414
158,1336.130941339315
159,1336.130941348161
