number,result
1,-0.416800276677
2,-0.416800276677
3,-0.416800276677
4,-0.416800276677
5,-0.416800276677
6,-0.416800276677
7,-0.416800276677
8,-0.416800276677
9,-0.416800276677
10,-0.416800276668
11,-0.41680027803
12,-0.416800405581
13,-0.416801716103
14,-0.416805709456
15,-0.416812441372
16,-0.41681829106
17,-0.41682344623
18,-0.416826808932
19,-0.416828894406
20,-0.416828521811
21,-0.416828917689
22,-0.41682951723
23,-0.416830003284
24,-0.416830082126
25,-0.416829811538
26,-0.416830187557
27,-0.416830567858
28,-0.416830842689
29,-0.41683086682
30,-0.416831925333
31,-0.416831937415
32,-0.416832364513
33,-0.416831429866
34,-0.416831863971
35,-0.416831766455
36,-0.416830506209
37,-0.416830618949
38,-0.41682950947
39,-0.41682884159
40,-0.416829214295
41,-0.416828877173
42,-0.416828307759
43,-0.416826494478
44,-0.416826026449
45,-0.416826443318
46,-0.41682689327
47,-0.416825999817
48,-0.416824164811
49,-0.416823902985
50,-0.416824231791
51,-0.416824012902
52,-0.41682311827
53,-0.416823300457
54,-0.416823475051
55,-0.416826701867
56,-0.416825099174
57,-0.41682479891
58,-0.416824385774
59,-0.416824498727
60,-0.416824254151
61,-0.416823635195
62,-0.416823700254
63,-0.416823623991
64,-0.416824177295
65,-0.416823996522
66,-0.416822688879
67,-0.416823261054
68,-0.416823232923
69,-0.416822819215
70,-0.416822636835
71,-0.416826138147
72,-0.416827958251
73,-0.416826907625
74,-0.416827634686
75,-0.416828130914
76,-0.416828836247
77,-0.416826501378
78,-0.41682722082
79,-0.416826459384
80,-0.416826680981
81,-0.416826017867
82,-0.416826555174
83,-0.416828190518
84,-0.416826632905
85,-0.416828100229
86,-0.416827963285
87,-0.416828827015
88,-0.416828088357
89,-0.416829081937
90,-0.41682778052
91,-0.416826902859
92,-0.41682628818
93,-0.416825372965
94,-0.41682447073
95,-0.416823816528
96,-0.416823664985
97,-0.416822814295
98,-0.416822205278
99,-0.416822377719
100,-0.416822423832
101,-0.416821450833
102,-0.416821358753
103,-0.416821040892
104,-0.416821136542
105,-0.416821124569
106,-0.416822024645
107,-0.416821429086
108,-0.416819125405
109,-0.416819766118
110,-0.416819312182
111,-0.416818139314
112,-0.416817874976
113,-0.416817587167
114,-0.416820066087
115,-0.416819229726
116,-0.416818024783
117,-0.416817454966
118,-0.416817813303
119,-0.416819312607
120,-0.416819341571
121,-0.416819370652
122,-0.416818231874
123,-0.416818326331
124,-0.416818714611
125,-0.416818771979
126,-0.416818111976
127,-0.41681754135
128,-0.416817111096
129,-0.416816602743
130,-0.416816580773
131,-0.416817357359
132,-0.416817188439
133,-0.416817201012
134,-0.416818368151
135,-0.41681708313
136,-0.416817359035
137,-0.416817706157
138,-0.416818475842
139,-0.416817868186
140,-0.416818515236
141,-0.416818073732
142,-0.416818967971
143,-0.416820037055
144,-0.4168206538
145,-0.416822635737
146,-0.416821423717
147,-0.416820384481
148,-0.416820514205
149,-0.416819836454
150,-0.416820196253
151,-0.41681988134
152,-0.416820503378
153,-0.416819351356
154,-0.416819205689
155,-0.416818984331
156,-0.416819124044
157,-0.416818716497
158,-0.416818924356
159,-0.416818407463
160,-0.416817398879
161,-0.41681697257
162,-0.416817192471
163,-0.416818584329
164,-0.4168184283
165,-0.416819092969
166,-0.416818703945
167,-0.416819132966
168,-0.416818807169
169,-0.416815973032
170,-0.416814716035
171,-0.416814110097
172,-0.416814293559
173,-0.416814494138
174,-0.41681342825
175,-0.416812871005
176,-0.41681273579
177,-0.416812501977
178,-0.416812612097
179,-0.41681298484
180,-0.416813106346
181,-0.41681381265
182,-0.416814382516
183,-0.416813673497
184,-0.416813978917
185,-0.416814054651
186,-0.416812915527
187,-0.416812628114
188,-0.416812399728
189,-0.416812562701
190,-0.416812863039
191,-0.416814665977
192,-0.416813805762
193,-0.416814275748
194,-0.416815093815
195,-0.416814944194
196,-0.416814657706
197,-0.416814031016
198,-0.416814169821
199,-0.416813373311
200,-0.416813870497
201,-0.416813561222
202,-0.41681356153
203,-0.416812932997
204,-0.416812314785
205,-0.41681288592
206,-0.416813128193
207,-0.41681303161
208,-0.416813062411
209,-0.416814275417
210,-0.416814051122
211,-0.416813894974
212,-0.416814547144
213,-0.41681317036
214,-0.416812778878
215,-0.416812641734
216,-0.416811924375
217,-0.416811898836
218,-0.416811949381
219,-0.416811961183
220,-0.41681176271
221,-0.416812339094
222,-0.416812652217
223,-0.416812112687
224,-0.416811829199
225,-0.416811828387
226,-0.416811675139
227,-0.416811234046
228,-0.416812123188
229,-0.416812690157
230,-0.416812304728
231,-0.416813598736
232,-0.416813687547
233,-0.416813607803
234,-0.416812756697
235,-0.416814865531
236,-0.416817319844
237,-0.416814907273
238,-0.416816605628
239,-0.416819369113
240,-0.416818188212
241,-0.416816288006
242,-0.416816325979
243,-0.416814599049
244,-0.416813183886
245,-0.416813643708
246,-0.416813958556
247,-0.416813898696
248,-0.41681341936
249,-0.416812225821
250,-0.416811324346
251,-0.416811823846
252,-0.41681223915
253,-0.416813220999
254,-0.416812861297
255,-0.416812277385
256,-0.416812382211
257,-0.416812278072
258,-0.41681202832
259,-0.416811092764
260,-0.416810805405
261,-0.416811453724
262,-0.416811511194
263,-0.416811504714
264,-0.416811497926
265,-0.41681357792
266,-0.41681416844
267,-0.416815003914
268,-0.4168163154
269,-0.416818355656
270,-0.416815952559
271,-0.416818507954
272,-0.416818960102
273,-0.4168174237
274,-0.41681848984
275,-0.416817840276
276,-0.416817042787
277,-0.416816051667
278,-0.416817664209
279,-0.416817050985
280,-0.416815101105
281,-0.416815131859
282,-0.416815033782
283,-0.416814790356
284,-0.416814470822
285,-0.416813381778
286,-0.416813770926
287,-0.416814788956
288,-0.416816994836
289,-0.416817205219
290,-0.416818937014
291,-0.416818710613
292,-0.416816206773
293,-0.4168168325
294,-0.416816242869
295,-0.416814939825
296,-0.416812847191
297,-0.41681302524
298,-0.41681124998
299,-0.416810847428
300,-0.416810581812
301,-0.416809976706
302,-0.416809255785
303,-0.416809365616
304,-0.416809470729
305,-0.416809981257
306,-0.416809782061
307,-0.416809937412
308,-0.416810162136
309,-0.416809757
310,-0.416809903718
311,-0.416809412072
312,-0.416809535227
313,-0.416809554511
314,-0.416809595051
315,-0.416809486801
316,-0.416809223846
317,-0.416808505499
318,-0.416808324483
319,-0.416808134323
320,-0.41680816197
321,-0.41680849117
322,-0.416808684604
323,-0.416808555309
324,-0.416808327948
325,-0.416808564733
326,-0.416808196658
327,-0.416808566104
328,-0.416808381578
329,-0.416808918549
330,-0.416808419601
331,-0.416808617939
332,-0.416808681123
333,-0.416809597685
334,-0.416808989709
335,-0.416809310023
336,-0.416809057263
337,-0.416809288326
338,-0.416808696243
339,-0.416809631797
340,-0.416808882709
341,-0.416808106111
342,-0.416807626682
343,-0.416807746571
344,-0.416808172917
345,-0.416807409318
346,-0.416807341578
347,-0.41680740313
348,-0.416807140789
349,-0.416807319761
350,-0.416807216484
351,-0.41680714548
352,-0.416807057933
353,-0.4168066415
354,-0.416806257514
355,-0.416809391316
356,-0.41681007692
357,-0.416810652041
358,-0.416810428365
359,-0.416808620574
360,-0.416807416767
361,-0.416807239049
362,-0.416806581841
363,-0.416806940408
364,-0.416806832699
365,-0.416806770963
366,-0.416807127161
367,-0.416806972577
368,-0.41680679434
369,-0.416806837957
370,-0.416806778607
371,-0.416806335968
372,-0.416806663298
373,-0.416806705811
374,-0.416806639324
375,-0.416806634225
376,-0.416806446109
377,-0.41680607827
378,-0.416805958206
379,-0.416805638566
380,-0.416805346263
381,-0.416805198045
382,-0.416805359861
383,-0.416805718064
384,-0.416806395619
385,-0.416806572707
386,-0.416806855977
387,-0.416806107396
388,-0.416806665997
389,-0.416806095968
390,-0.416806324245
391,-0.416807154382
392,-0.416807127606
393,-0.41680692513
394,-0.416806534232
395,-0.416807022393
396,-0.41680648384
397,-0.416806353874
398,-0.416806431161
399,-0.416805824329
400,-0.416805988786
401,-0.416805942153
402,-0.416805904745
403,-0.416805453243
404,-0.416806070417
405,-0.416806581187
406,-0.416806647836
407,-0.416806249986
